Globally_unique_identifier,Property_key,Names_in_language_N,Definitions_in_language_N,Units,Descriptions_in_language_N,Physical_quantity,Method_of_measurement,Data_type,Dimension_(LMTIÃŽËœNJ),List_of_possible_values_in_language_N,Status,Date_of_creation,Date_of_activation,Date_of_last_change,Date_of_revision,Date_of_version,Date_of_deactivation,Version_number,Revision_number,List_of_replaced_properties,List_of_replacing_properties,Deprecation_explanation,Relation_of_the_property_identifiers_in_the_interconnected_data_dictionaries,Creators_language,Examples_in_language_N,Connected_properties,Groups_of_properties,Symbols_of_the_property_in_a_given_property_group,Visual_representation,Country_of_use,Subdivision_of_use,Country_of_origin,Dynamic_property,Parameters_of_the_dynamic_property,Names_of_defining_values,Defining_values,Tolerance,Digital_format,Text_format,Boundary_values,IR_Property_Alignment
DD390889-078C-47C3-9ED2-425DB61732CE,urn:caltrans:property:postmile,Postmile | en-EN,Postmile,foot,Mile post of point location,Length | en-EN,N/A,Real,1 0 0 0 0 0 0,,Active,2026-04-15,,,N/A,2026-05-13,,1,N/A,,,,,en-EN,,,(3E7F9A2B-4C8D-4E5F-A1B6-9D3C5E7F8A1B),,,US,,US,,,,,,,,,ARNOLD; Caltrans Linear Referencing System
450403C6-39C4-4D45-8FA9-F3C5857E86B1,urn:caltrans:property:postmile_begin,PostmileBegin | en-EN,Postmile - Begin,foot,Mile post of point location - begin,Length | en-EN,N/A,Real,1 0 0 0 0 0 0,,Active,2026-04-15,,,N/A,2026-05-13,,1,N/A,,,,,en-EN,,,(5A8C1D3E-6F9B-4A7C-B2D4-1E4F7A9C2B5D),,,US,,US,,,,,,,,,ARNOLD; Caltrans Linear Referencing System
AC900B5E-7773-419E-B1E3-F255EF9B876E,urn:caltrans:property:postmile_end,PostmileEnd | en-EN,Postmile - End,foot,Mile post of point location - end,Length | en-EN,N/A,Real,1 0 0 0 0 0 0,,Active,2026-04-15,,,N/A,2026-05-13,,1,N/A,,,,,en-EN,,,(5A8C1D3E-6F9B-4A7C-B2D4-1E4F7A9C2B5D),,,US,,US,,,,,,,,,ARNOLD; Caltrans Linear Referencing System
38C851EA-D764-4CD9-B809-8DA205263324,urn:caltrans:property:easting,Easting | en-EN,Easting,foot,"The ""X"" values of coordinates represented on a plane coordinate system",Length | en-EN,N/A,Real,1 0 0 0 0 0 0,,Active,2026-04-15,,,N/A,2026-05-13,,1,N/A,,,,,en-EN,,,(3E7F9A2B-4C8D-4E5F-A1B6-9D3C5E7F8A1B),,,US,,US,,,,,,,,,
AD06A91F-122D-43AE-BDF6-F7A56E223DE0,urn:caltrans:property:easting_begin,EastingBegin | en-EN,Easting - Begin,foot,"The ""X"" values of coordinates represented on a plane coordinate system - Begin (Linear)",Length | en-EN,N/A,Real,1 0 0 0 0 0 0,,Active,2026-04-15,,,N/A,2026-05-13,,1,N/A,,,,,en-EN,,,(5A8C1D3E-6F9B-4A7C-B2D4-1E4F7A9C2B5D),,,US,,US,,,,,,,,,
4606B48B-AC8E-4564-8DDA-C345ADCFB371,urn:caltrans:property:easting_end,EastingEnd | en-EN,Easting - End,foot,"The ""X"" values of coordinates represented on a plane coordinate system - End (Linear)",Length | en-EN,N/A,Real,1 0 0 0 0 0 0,,Active,2026-04-15,,,N/A,2026-05-13,,1,N/A,,,,,en-EN,,,(5A8C1D3E-6F9B-4A7C-B2D4-1E4F7A9C2B5D),,,US,,US,,,,,,,,,
26806890-7652-4D82-9E10-10EE2FE98812,urn:caltrans:property:northing,Northing | en-EN,Northing,foot,"The ""Y"" values of coordinates represented on a plane coordinate system",Length | en-EN,N/A,Real,1 0 0 0 0 0 0,,Active,2026-04-15,,,N/A,2026-05-13,,1,N/A,,,,,en-EN,,,(3E7F9A2B-4C8D-4E5F-A1B6-9D3C5E7F8A1B),,,US,,US,,,,,,,,,
6F6F9772-6328-43E2-9924-0B228D82B1A8,urn:caltrans:property:northing_begin,NorthingBegin | en-EN,Northing - Begin,foot,"The ""Y"" values of coordinates represented on a plane coordinate system - Begin (Linear)",Length | en-EN,N/A,Real,1 0 0 0 0 0 0,,Active,2026-04-15,,,N/A,2026-05-13,,1,N/A,,,,,en-EN,,,(5A8C1D3E-6F9B-4A7C-B2D4-1E4F7A9C2B5D),,,US,,US,,,,,,,,,
476682A8-E66F-4EF0-A94A-F6DDDB780DAE,urn:caltrans:property:northing_end,NorthingEnd | en-EN,Northing - End,foot,"The ""Y"" values of coordinates represented on a plane coordinate system - End (Linear)",Length | en-EN,N/A,Real,1 0 0 0 0 0 0,,Active,2026-04-15,,,N/A,2026-05-13,,1,N/A,,,,,en-EN,,,(5A8C1D3E-6F9B-4A7C-B2D4-1E4F7A9C2B5D),,,US,,US,,,,,,,,,
9AAE10F3-38B1-4856-87B2-61D846FE0245,urn:caltrans:property:collection_date,CollectionDate | en-EN,Collection Date,second,Date of the collection of data for the asset,Time | en-EN,N/A,Date,0 0 1 0 0 0 0,,Active,2026-04-15,,,N/A,2026-06-04,,2,N/A,,,,,en-EN,,,(44DCDCE3-A726-4F87-A587-97F7D69B252F),,,US,,US,,,,,,,,,
9BBB26FB-F1F9-4345-AEFE-0C040206CB92,urn:caltrans:property:collection_method,CollectionMethod | en-EN,Collection Method,unitless,The type of process used in obtaining information about current physical characteristics of the object.,without,N/A,String,0 0 0 0 0 0 0,,Active,2026-04-15,,,N/A,2026-06-04,,2,N/A,,,,,en-EN,,,(44DCDCE3-A726-4F87-A587-97F7D69B252F),,,US,,US,,,,,,,,,
229C59E4-F5B3-4D5D-9C34-F20EA394BB67,urn:caltrans:property:system_type,SystemType | en-EN,System Type,unitless,Type of utility system the access point serves Allowed values: Stormwater; Combined; Sanitary; Flood Control,without,N/A,String,0 0 0 0 0 0 0,,Active,2026-04-15,,,N/A,2026-05-13,,1,N/A,,,,,en-EN,,,(FBFAF154-66B1-4C0D-9556-A2C3118136AF),,,US,,US,,,,,,,,,
5BBC7329-9523-434D-B038-6992EDDAFB8A,urn:caltrans:property:item_code,ItemCode | en-EN,Item Code,unitless,Pay item code,without,N/A,Real,0 0 0 0 0 0 0,,Active,2026-04-15,,,N/A,2026-05-13,,1,N/A,,,,,en-EN,,,(7F3DEC76-1347-4D47-9572-86BB071A4F28),,,US,,US,,,,,,,,,Caltrans Standard and Non-Standard Bid Item List
AF9C1BD4-1B27-4CFE-9734-9438184F36CB,urn:caltrans:property:item_description,ItemDescription | en-EN,Item Description,unitless,Pay Item description,without,N/A,String,0 0 0 0 0 0 0,,Active,2026-04-15,,,N/A,2026-05-13,,1,N/A,,,,,en-EN,,,(7F3DEC76-1347-4D47-9572-86BB071A4F28),,,US,,US,,,,,,,,,Caltrans Standard and Non-Standard Bid Item List
D65E2CD8-CF23-4BEC-965C-E3C3CF8522BC,urn:caltrans:property:item_unit,ItemUnit | en-EN,Pay Item Unit of Measure,unitless,"Pay Item unit (LF, CY, LS, etc.)",without,N/A,String,0 0 0 0 0 0 0,LF; CY; LS,Active,2026-04-15,,,N/A,2026-05-13,,1,N/A,,,,,en-EN,,,(7F3DEC76-1347-4D47-9572-86BB071A4F28),,,US,,US,,,,,,,,,Caltrans Standard and Non-Standard Bid Item List
C86EE505-D99F-4578-900F-96AD073C1185,urn:caltrans:property:item_number,ItemNumber | en-EN,Item Number,unitless,Pay Item Number for the Project (Sequential number of bid item specific to the contract),without,N/A,Real,0 0 0 0 0 0 0,,Active,2026-04-15,,,N/A,2026-05-13,,1,N/A,,,,,en-EN,,,(A32042EF-7D84-4441-A769-1A2A6258F32E),,,US,,US,,,,,,,,,
3908D478-F6D8-4215-8FE6-FCCD46B4D73D,urn:caltrans:property:item_notes,ItemNotes | en-EN,Item Notes,unitless,Notes associated with the Pay item,without,N/A,String,0 0 0 0 0 0 0,,Active,2026-04-15,,,N/A,2026-05-13,,1,N/A,,,,,en-EN,,,(A32042EF-7D84-4441-A769-1A2A6258F32E),,,US,,US,,,,,,,,,
08BF545A-AF2E-4967-8746-D2E615518A0C,urn:caltrans:property:geodetic_datum,GeodeticDatum | en-EN,Geodetic Datum,unitless,An abstract reference frame used to precisely measure and map locations on Earth,without,N/A,String,0 0 0 0 0 0 0,,Active,2026-06-04,,,N/A,2026-06-04,,1,N/A,,,,,en-EN,,,(3E7F9A2B-4C8D-4E5F-A1B6-9D3C5E7F8A1B),,,US,,US,,,,,,,,,
DB449643-642C-45A3-BB71-B86DD3F7955D,urn:caltrans:property:asset_construction_date,AssetConstructionDate | en-EN,Asset Construction Date,second,Date on which the underground utility asset was constructed or installed.,Time | en-EN,N/A,Date,0 0 1 0 0 0 0,,Active,2026-06-04,,,N/A,2026-06-04,,1,N/A,,,,,en-EN,,,(44DCDCE3-A726-4F87-A587-97F7D69B252F),,,US,,US,,,,,,,,,
3E09A3D9-15D1-4941-904C-1DFE74801922,urn:caltrans:property:asset_status,AssetStatus | en-EN,Asset Status,unitless,"Current physical or operational condition of the underground utility asset (e.g., Active, Inactive, Decommissioned, Under Repair).",without,N/A,String,0 0 0 0 0 0 0,,Active,2026-06-04,,,N/A,2026-06-04,,1,N/A,,,,,en-EN,,,(44DCDCE3-A726-4F87-A587-97F7D69B252F),,,US,,US,,,,,,,,,
7BE12FBD-88D3-40B6-B401-168C7172C8CA,urn:caltrans:property:alignment_reference,AlignmentReference | en-EN,Alignment Reference,unitless,Alignment ID referenced for location,without,N/A,String,0 0 0 0 0 0 0,,Active,2026-06-09,,,N/A,2026-06-09,,1,N/A,,,,,en-EN,,,(5A8C1D3E-6F9B-4A7C-B2D4-1E4F7A9C2B5D),,,US,,US,,,,,,,,,
